col1, col2, col3, col4, col5, pk, col1, col2, col3, pk2
60, 35, 86, 96, 38, 10, 92, 60, 86, 10
18, 35, 11, 65, 11, 1, 4, 18, 70, 10
18, 35, 11, 65, 11, 1, 37, 18, 18, 2
48, 21, 25, 9, 26, 5, 9, 48, 100, 8
48, 89, 74, 91, 41, 8, 9, 48, 100, 8
84, 11, 8, 29, 59, 1, 74, 84, 82, 1
36, 19, 34, 24, 64, 8, 77, 36, 93, 3
66, 19, 2, 18, 50, 7, 25, 66, 8, 4
66, 19, 2, 18, 50, 7, 7, 66, 87, 6
36, 97, 22, 2, 72, 9, 77, 36, 93, 3
30, 100, 4, 55, 22, 6, 11, 30, 65, 1
30, 100, 4, 55, 22, 6, 54, 30, 45, 7
12, 5, 58, 78, 91, 3, 95, 12, 97, 2
6, 62, 61, 51, 90, 9, 41, 6, 19, 7
6, 62, 61, 51, 90, 9, 99, 6, 33, 5
90, 14, 13, 63, 29, 7, 22, 90, 56, 4
6, 22, 75, 86, 76, 1, 41, 6, 19, 7
6, 22, 75, 86, 76, 1, 99, 6, 33, 5
30, 15, 80, 40, 55, 8, 11, 30, 65, 1
30, 15, 80, 40, 55, 8, 54, 30, 45, 7
24, 85, 39, 54, 75, 1, 68, 24, 41, 4
30, 56, 10, 97, 17, 9, 11, 30, 65, 1
30, 56, 10, 97, 17, 9, 54, 30, 45, 7
66, 98, 74, 18, 11, 4, 25, 66, 8, 4
66, 98, 74, 18, 11, 4, 7, 66, 87, 6
60, 34, 22, 17, 27, 9, 92, 60, 86, 10
6, 36, 34, 49, 61, 5, 41, 6, 19, 7
6, 36, 34, 49, 61, 5, 99, 6, 33, 5
24, 13, 13, 8, 40, 5, 68, 24, 41, 4
90, 55, 55, 65, 89, 3, 22, 90, 56, 4
24, 82, 69, 72, 60, 3, 68, 24, 41, 4
60, 54, 30, 69, 1, 9, 92, 60, 86, 10
66, 2, 3, 83, 5, 6, 25, 66, 8, 4
66, 2, 3, 83, 5, 6, 7, 66, 87, 6
6, 36, 100, 74, 73, 10, 41, 6, 19, 7
6, 36, 100, 74, 73, 10, 99, 6, 33, 5
78, 6, 33, 61, 5, 8, 64, 78, 3, 9
12, 31, 89, 72, 100, 3, 95, 12, 97, 2
84, 66, 99, 38, 60, 1, 74, 84, 82, 1
36, 15, 97, 26, 80, 6, 77, 36, 93, 3
66, 85, 96, 10, 73, 5, 25, 66, 8, 4
66, 85, 96, 10, 73, 5, 7, 66, 87, 6
18, 50, 80, 83, 83, 2, 4, 18, 70, 10
18, 50, 80, 83, 83, 2, 37, 18, 18, 2
66, 26, 85, 17, 88, 8, 25, 66, 8, 4
66, 26, 85, 17, 88, 8, 7, 66, 87, 6
6, 23, 10, 93, 39, 5, 41, 6, 19, 7
6, 23, 10, 93, 39, 5, 99, 6, 33, 5
18, 74, 98, 6, 97, 3, 4, 18, 70, 10
18, 74, 98, 6, 97, 3, 37, 18, 18, 2
36, 56, 59, 37, 3, 6, 77, 36, 93, 3
90, 1, 81, 8, 27, 4, 22, 90, 56, 4
60, 51, 87, 92, 32, 1, 92, 60, 86, 10
18, 28, 43, 66, 32, 9, 4, 18, 70, 10
18, 28, 43, 66, 32, 9, 37, 18, 18, 2
30, 57, 48, 46, 13, 7, 11, 30, 65, 1
30, 57, 48, 46, 13, 7, 54, 30, 45, 7
6, 52, 83, 31, 36, 3, 41, 6, 19, 7
6, 52, 83, 31, 36, 3, 99, 6, 33, 5
66, 87, 43, 59, 75, 6, 25, 66, 8, 4
66, 87, 43, 59, 75, 6, 7, 66, 87, 6
30, 64, 14, 53, 24, 4, 11, 30, 65, 1
30, 64, 14, 53, 24, 4, 54, 30, 45, 7
18, 83, 66, 65, 32, 3, 4, 18, 70, 10
18, 83, 66, 65, 32, 3, 37, 18, 18, 2
30, 5, 76, 10, 3, 4, 11, 30, 65, 1
30, 5, 76, 10, 3, 4, 54, 30, 45, 7
24, 99, 74, 14, 22, 5, 68, 24, 41, 4
12, 73, 4, 42, 85, 4, 95, 12, 97, 2
78, 55, 47, 44, 85, 10, 64, 78, 3, 9
30, 16, 81, 8, 83, 5, 11, 30, 65, 1
30, 16, 81, 8, 83, 5, 54, 30, 45, 7
60, 63, 81, 100, 5, 6, 92, 60, 86, 10
78, 65, 24, 61, 6, 4, 64, 78, 3, 9
24, 97, 26, 17, 61, 1, 68, 24, 41, 4
60, 78, 23, 59, 31, 6, 92, 60, 86, 10
30, 20, 93, 86, 40, 1, 11, 30, 65, 1
30, 20, 93, 86, 40, 1, 54, 30, 45, 7
84, 78, 17, 29, 66, 1, 74, 84, 82, 1
12, 37, 26, 43, 8, 6, 95, 12, 97, 2
48, 81, 28, 67, 84, 2, 9, 48, 100, 8
78, 46, 74, 70, 63, 10, 64, 78, 3, 9
18, 34, 96, 62, 15, 8, 4, 18, 70, 10
18, 34, 96, 62, 15, 8, 37, 18, 18, 2
48, 33, 87, 57, 47, 9, 9, 48, 100, 8
30, 3, 78, 6, 29, 8, 11, 30, 65, 1
30, 3, 78, 6, 29, 8, 54, 30, 45, 7
84, 51, 89, 56, 65, 2, 74, 84, 82, 1
6, 42, 77, 26, 52, 2, 41, 6, 19, 7
6, 42, 77, 26, 52, 2, 99, 6, 33, 5
60, 19, 13, 7, 27, 4, 92, 60, 86, 10
12, 54, 18, 77, 58, 3, 95, 12, 97, 2
78, 21, 60, 55, 69, 1, 64, 78, 3, 9
90, 25, 32, 65, 52, 10, 22, 90, 56, 4
60, 28, 68, 91, 14, 5, 92, 60, 86, 10
66, 44, 88, 47, 65, 8, 25, 66, 8, 4
66, 44, 88, 47, 65, 8, 7, 66, 87, 6
24, 88, 51, 91, 8, 9, 68, 24, 41, 4
30, 60, 85, 23, 10, 1, 11, 30, 65, 1
30, 60, 85, 23, 10, 1, 54, 30, 45, 7
48, 55, 72, 59, 51, 4, 9, 48, 100, 8
90, 31, 10, 69, 19, 10, 22, 90, 56, 4
24, 55, 81, 16, 21, 10, 68, 24, 41, 4
60, 46, 100, 27, 8, 7, 92, 60, 86, 10
18, 22, 48, 41, 70, 7, 4, 18, 70, 10
18, 22, 48, 41, 70, 7, 37, 18, 18, 2
30, 3, 61, 51, 97, 7, 11, 30, 65, 1
30, 3, 61, 51, 97, 7, 54, 30, 45, 7
78, 3, 73, 48, 41, 2, 64, 78, 3, 9
18, 6, 21, 72, 95, 1, 4, 18, 70, 10
18, 6, 21, 72, 95, 1, 37, 18, 18, 2
60, 64, 80, 48, 71, 8, 92, 60, 86, 10
66, 25, 40, 86, 52, 7, 25, 66, 8, 4
66, 25, 40, 86, 52, 7, 7, 66, 87, 6
6, 95, 79, 10, 1, 6, 41, 6, 19, 7
6, 95, 79, 10, 1, 6, 99, 6, 33, 5
30, 56, 95, 54, 84, 3, 11, 30, 65, 1
30, 56, 95, 54, 84, 3, 54, 30, 45, 7
30, 30, 68, 47, 42, 5, 11, 30, 65, 1
30, 30, 68, 47, 42, 5, 54, 30, 45, 7
60, 90, 37, 100, 96, 1, 92, 60, 86, 10
24, 15, 25, 47, 90, 1, 68, 24, 41, 4
84, 77, 21, 19, 73, 8, 74, 84, 82, 1
66, 61, 20, 59, 89, 7, 25, 66, 8, 4
66, 61, 20, 59, 89, 7, 7, 66, 87, 6
90, 9, 3, 89, 57, 9, 22, 90, 56, 4
66, 86, 50, 75, 92, 4, 25, 66, 8, 4
66, 86, 50, 75, 92, 4, 7, 66, 87, 6
84, 96, 54, 38, 77, 10, 74, 84, 82, 1
60, 83, 84, 16, 10, 2, 92, 60, 86, 10
36, 95, 95, 62, 22, 7, 77, 36, 93, 3
36, 87, 68, 94, 98, 9, 77, 36, 93, 3
60, 89, 22, 40, 76, 3, 92, 60, 86, 10
90, 64, 37, 96, 75, 6, 22, 90, 56, 4
24, 49, 85, 41, 12, 6, 68, 24, 41, 4
18, 92, 43, 80, 70, 8, 4, 18, 70, 10
18, 92, 43, 80, 70, 8, 37, 18, 18, 2
84, 26, 56, 93, 51, 4, 74, 84, 82, 1
30, 84, 12, 54, 93, 7, 11, 30, 65, 1
30, 84, 12, 54, 93, 7, 54, 30, 45, 7
24, 64, 25, 4, 41, 7, 68, 24, 41, 4
24, 37, 80, 96, 91, 8, 68, 24, 41, 4
48, 75, 1, 90, 72, 1, 9, 48, 100, 8
12, 87, 17, 67, 5, 6, 95, 12, 97, 2
30, 79, 41, 89, 14, 6, 11, 30, 65, 1
30, 79, 41, 89, 14, 6, 54, 30, 45, 7
84, 95, 28, 80, 25, 3, 74, 84, 82, 1
90, 12, 91, 40, 36, 8, 22, 90, 56, 4
12, 44, 43, 63, 31, 5, 95, 12, 97, 2
78, 54, 74, 70, 85, 4, 64, 78, 3, 9
36, 54, 54, 11, 19, 2, 77, 36, 93, 3
84, 17, 91, 30, 30, 3, 74, 84, 82, 1
24, 27, 79, 73, 36, 7, 68, 24, 41, 4
66, 5, 48, 74, 44, 3, 25, 66, 8, 4
66, 5, 48, 74, 44, 3, 7, 66, 87, 6
30, 20, 28, 33, 29, 7, 11, 30, 65, 1
30, 20, 28, 33, 29, 7, 54, 30, 45, 7
48, 91, 26, 86, 13, 3, 9, 48, 100, 8
36, 71, 36, 23, 85, 8, 77, 36, 93, 3
6, 82, 17, 74, 30, 4, 41, 6, 19, 7
6, 82, 17, 74, 30, 4, 99, 6, 33, 5
78, 59, 48, 50, 94, 1, 64, 78, 3, 9
12, 26, 52, 24, 79, 4, 95, 12, 97, 2
60, 55, 7, 52, 44, 8, 92, 60, 86, 10
6, 18, 24, 100, 9, 10, 41, 6, 19, 7
6, 18, 24, 100, 9, 10, 99, 6, 33, 5
66, 61, 67, 16, 40, 1, 25, 66, 8, 4
66, 61, 67, 16, 40, 1, 7, 66, 87, 6
78, 54, 28, 38, 73, 1, 64, 78, 3, 9
12, 28, 72, 57, 3, 3, 95, 12, 97, 2
84, 90, 73, 68, 23, 2, 74, 84, 82, 1
90, 67, 80, 31, 90, 4, 22, 90, 56, 4
18, 52, 6, 15, 13, 4, 4, 18, 70, 10
18, 52, 6, 15, 13, 4, 37, 18, 18, 2
84, 4, 75, 54, 85, 4, 74, 84, 82, 1
24, 28, 9, 45, 26, 7, 68, 24, 41, 4
90, 96, 41, 55, 89, 8, 22, 90, 56, 4
66, 39, 69, 75, 58, 3, 25, 66, 8, 4
66, 39, 69, 75, 58, 3, 7, 66, 87, 6
90, 36, 49, 13, 45, 1, 22, 90, 56, 4
60, 60, 42, 83, 13, 3, 92, 60, 86, 10
36, 50, 80, 42, 62, 6, 77, 36, 93, 3
78, 75, 15, 33, 21, 5, 64, 78, 3, 9
24, 60, 15, 11, 33, 5, 68, 24, 41, 4
12, 27, 89, 46, 92, 4, 95, 12, 97, 2
84, 35, 75, 33, 44, 4, 74, 84, 82, 1
90, 39, 49, 74, 37, 10, 22, 90, 56, 4
30, 52, 44, 92, 50, 3, 11, 30, 65, 1
30, 52, 44, 92, 50, 3, 54, 30, 45, 7
6, 32, 18, 8, 100, 10, 41, 6, 19, 7
6, 32, 18, 8, 100, 10, 99, 6, 33, 5
60, 43, 99, 88, 93, 8, 92, 60, 86, 10
84, 100, 85, 29, 52, 8, 74, 84, 82, 1
30, 92, 21, 67, 14, 1, 11, 30, 65, 1
30, 92, 21, 67, 14, 1, 54, 30, 45, 7
66, 62, 29, 58, 78, 7, 25, 66, 8, 4
66, 62, 29, 58, 78, 7, 7, 66, 87, 6
84, 48, 17, 70, 19, 10, 74, 84, 82, 1
78, 31, 96, 1, 71, 5, 64, 78, 3, 9
24, 97, 92, 79, 88, 3, 68, 24, 41, 4
24, 13, 54, 49, 15, 4, 68, 24, 41, 4
24, 36, 23, 26, 32, 8, 68, 24, 41, 4
18, 70, 75, 81, 46, 4, 4, 18, 70, 10
18, 70, 75, 81, 46, 4, 37, 18, 18, 2
84, 62, 59, 14, 29, 2, 74, 84, 82, 1
60, 2, 100, 50, 92, 7, 92, 60, 86, 10
60, 100, 84, 4, 37, 4, 92, 60, 86, 10
66, 24, 57, 73, 73, 3, 25, 66, 8, 4
66, 24, 57, 73, 73, 3, 7, 66, 87, 6
12, 15, 11, 58, 44, 3, 95, 12, 97, 2
36, 90, 23, 43, 19, 1, 77, 36, 93, 3
6, 82, 76, 26, 28, 7, 41, 6, 19, 7
6, 82, 76, 26, 28, 7, 99, 6, 33, 5
6, 74, 14, 42, 15, 4, 41, 6, 19, 7
6, 74, 14, 42, 15, 4, 99, 6, 33, 5
18, 64, 43, 47, 23, 5, 4, 18, 70, 10
18, 64, 43, 47, 23, 5, 37, 18, 18, 2
36, 17, 14, 67, 10, 1, 77, 36, 93, 3
90, 91, 60, 75, 10, 6, 22, 90, 56, 4
60, 36, 73, 90, 30, 6, 92, 60, 86, 10
84, 18, 13, 37, 53, 1, 74, 84, 82, 1
30, 58, 39, 49, 23, 8, 11, 30, 65, 1
30, 58, 39, 49, 23, 8, 54, 30, 45, 7
78, 57, 72, 28, 14, 7, 64, 78, 3, 9
60, 90, 47, 7, 3, 2, 92, 60, 86, 10
24, 35, 98, 99, 92, 2, 68, 24, 41, 4
90, 10, 97, 47, 97, 2, 22, 90, 56, 4
90, 14, 12, 56, 85, 3, 22, 90, 56, 4
36, 56, 38, 30, 95, 3, 77, 36, 93, 3
36, 1, 46, 71, 30, 6, 77, 36, 93, 3
78, 6, 9, 10, 64, 3, 64, 78, 3, 9
90, 17, 87, 25, 51, 9, 22, 90, 56, 4
18, 47, 33, 91, 71, 1, 4, 18, 70, 10
18, 47, 33, 91, 71, 1, 37, 18, 18, 2
60, 52, 34, 98, 33, 1, 92, 60, 86, 10
18, 28, 27, 76, 36, 6, 4, 18, 70, 10
18, 28, 27, 76, 36, 6, 37, 18, 18, 2
18, 30, 63, 61, 60, 1, 4, 18, 70, 10
18, 30, 63, 61, 60, 1, 37, 18, 18, 2
60, 4, 17, 56, 67, 1, 92, 60, 86, 10
12, 88, 86, 24, 71, 2, 95, 12, 97, 2
12, 97, 66, 10, 16, 4, 95, 12, 97, 2
60, 10, 66, 12, 10, 6, 92, 60, 86, 10
30, 82, 70, 95, 30, 1, 11, 30, 65, 1
30, 82, 70, 95, 30, 1, 54, 30, 45, 7
60, 89, 90, 57, 47, 6, 92, 60, 86, 10
78, 2, 27, 57, 33, 3, 64, 78, 3, 9
90, 88, 53, 37, 88, 5, 22, 90, 56, 4
6, 64, 22, 87, 54, 3, 41, 6, 19, 7
6, 64, 22, 87, 54, 3, 99, 6, 33, 5
12, 44, 87, 92, 96, 9, 95, 12, 97, 2
12, 69, 20, 29, 4, 2, 95, 12, 97, 2
48, 42, 88, 43, 31, 4, 9, 48, 100, 8
60, 72, 2, 24, 47, 7, 92, 60, 86, 10
24, 84, 31, 51, 11, 8, 68, 24, 41, 4
60, 94, 96, 55, 64, 5, 92, 60, 86, 10
60, 68, 62, 83, 2, 3, 92, 60, 86, 10
66, 33, 59, 85, 75, 1, 25, 66, 8, 4
66, 33, 59, 85, 75, 1, 7, 66, 87, 6
78, 67, 9, 22, 53, 1, 64, 78, 3, 9
90, 96, 7, 97, 66, 6, 22, 90, 56, 4
84, 77, 5, 49, 60, 4, 74, 84, 82, 1
36, 45, 4, 93, 68, 6, 77, 36, 93, 3
36, 63, 79, 7, 79, 8, 77, 36, 93, 3
36, 65, 54, 13, 8, 3, 77, 36, 93, 3
48, 39, 64, 51, 20, 2, 9, 48, 100, 8
12, 21, 100, 41, 45, 2, 95, 12, 97, 2
36, 98, 3, 88, 62, 6, 77, 36, 93, 3
24, 97, 29, 95, 65, 3, 68, 24, 41, 4
36, 27, 69, 25, 58, 1, 77, 36, 93, 3
6, 55, 40, 79, 32, 8, 41, 6, 19, 7
6, 55, 40, 79, 32, 8, 99, 6, 33, 5
36, 79, 59, 92, 29, 6, 77, 36, 93, 3
24, 64, 11, 3, 61, 10, 68, 24, 41, 4
6, 88, 38, 22, 23, 8, 41, 6, 19, 7
6, 88, 38, 22, 23, 8, 99, 6, 33, 5
48, 42, 69, 79, 90, 4, 9, 48, 100, 8
30, 85, 79, 69, 96, 6, 11, 30, 65, 1
30, 85, 79, 69, 96, 6, 54, 30, 45, 7
90, 70, 98, 59, 69, 3, 22, 90, 56, 4
48, 49, 3, 48, 37, 7, 9, 48, 100, 8
84, 26, 46, 48, 23, 10, 74, 84, 82, 1
36, 60, 48, 8, 69, 10, 77, 36, 93, 3
66, 13, 4, 97, 36, 7, 25, 66, 8, 4
66, 13, 4, 97, 36, 7, 7, 66, 87, 6
24, 35, 5, 36, 75, 1, 68, 24, 41, 4
78, 30, 5, 63, 37, 4, 64, 78, 3, 9
48, 62, 61, 41, 26, 1, 9, 48, 100, 8
78, 57, 26, 24, 46, 10, 64, 78, 3, 9
18, 40, 55, 98, 71, 7, 4, 18, 70, 10
18, 40, 55, 98, 71, 7, 37, 18, 18, 2
24, 59, 51, 68, 37, 8, 68, 24, 41, 4
30, 93, 6, 84, 13, 10, 11, 30, 65, 1
30, 93, 6, 84, 13, 10, 54, 30, 45, 7
24, 76, 74, 21, 18, 8, 68, 24, 41, 4
6, 63, 7, 27, 82, 3, 41, 6, 19, 7
6, 63, 7, 27, 82, 3, 99, 6, 33, 5
30, 53, 76, 14, 54, 6, 11, 30, 65, 1
30, 53, 76, 14, 54, 6, 54, 30, 45, 7
66, 2, 87, 52, 52, 5, 25, 66, 8, 4
66, 2, 87, 52, 52, 5, 7, 66, 87, 6
84, 71, 3, 40, 98, 5, 74, 84, 82, 1
78, 44, 24, 73, 92, 1, 64, 78, 3, 9
78, 17, 99, 40, 44, 7, 64, 78, 3, 9
48, 27, 8, 83, 66, 9, 9, 48, 100, 8
18, 4, 16, 79, 24, 7, 4, 18, 70, 10
18, 4, 16, 79, 24, 7, 37, 18, 18, 2
66, 4, 74, 5, 72, 8, 25, 66, 8, 4
66, 4, 74, 5, 72, 8, 7, 66, 87, 6
24, 42, 93, 48, 70, 6, 68, 24, 41, 4
24, 92, 38, 53, 97, 9, 68, 24, 41, 4
30, 39, 79, 75, 14, 4, 11, 30, 65, 1
30, 39, 79, 75, 14, 4, 54, 30, 45, 7
78, 75, 89, 79, 59, 1, 64, 78, 3, 9
18, 8, 16, 52, 25, 7, 4, 18, 70, 10
18, 8, 16, 52, 25, 7, 37, 18, 18, 2
66, 67, 43, 7, 71, 5, 25, 66, 8, 4
66, 67, 43, 7, 71, 5, 7, 66, 87, 6
66, 93, 98, 16, 47, 8, 25, 66, 8, 4
66, 93, 98, 16, 47, 8, 7, 66, 87, 6
90, 44, 64, 18, 9, 3, 22, 90, 56, 4
48, 64, 28, 39, 93, 7, 9, 48, 100, 8
6, 25, 27, 91, 50, 10, 41, 6, 19, 7
6, 25, 27, 91, 50, 10, 99, 6, 33, 5
18, 72, 56, 98, 59, 7, 4, 18, 70, 10
18, 72, 56, 98, 59, 7, 37, 18, 18, 2
12, 31, 18, 15, 83, 9, 95, 12, 97, 2
48, 67, 53, 61, 1, 8, 9, 48, 100, 8
84, 92, 11, 44, 32, 10, 74, 84, 82, 1
78, 66, 86, 81, 72, 2, 64, 78, 3, 9
30, 62, 61, 79, 46, 6, 11, 30, 65, 1
30, 62, 61, 79, 46, 6, 54, 30, 45, 7
48, 61, 56, 36, 39, 3, 9, 48, 100, 8
66, 12, 37, 53, 40, 3, 25, 66, 8, 4
66, 12, 37, 53, 40, 3, 7, 66, 87, 6
24, 92, 67, 89, 52, 6, 68, 24, 41, 4
66, 96, 80, 90, 39, 5, 25, 66, 8, 4
66, 96, 80, 90, 39, 5, 7, 66, 87, 6
36, 25, 65, 87, 91, 9, 77, 36, 93, 3
48, 79, 87, 90, 39, 9, 9, 48, 100, 8
30, 58, 29, 12, 4, 7, 11, 30, 65, 1
30, 58, 29, 12, 4, 7, 54, 30, 45, 7
60, 60, 98, 5, 16, 4, 92, 60, 86, 10
66, 43, 72, 55, 39, 6, 25, 66, 8, 4
66, 43, 72, 55, 39, 6, 7, 66, 87, 6
12, 89, 42, 84, 19, 8, 95, 12, 97, 2
48, 61, 83, 98, 8, 4, 9, 48, 100, 8
60, 57, 19, 49, 88, 8, 92, 60, 86, 10
36, 66, 97, 87, 59, 6, 77, 36, 93, 3
48, 99, 5, 99, 13, 8, 9, 48, 100, 8
84, 70, 1, 51, 7, 10, 74, 84, 82, 1
48, 83, 79, 31, 16, 3, 9, 48, 100, 8
84, 26, 57, 17, 59, 7, 74, 84, 82, 1
30, 10, 4, 75, 89, 7, 11, 30, 65, 1
30, 10, 4, 75, 89, 7, 54, 30, 45, 7
90, 37, 85, 85, 78, 8, 22, 90, 56, 4
90, 15, 59, 54, 98, 4, 22, 90, 56, 4
36, 11, 21, 49, 64, 4, 77, 36, 93, 3
36, 71, 19, 93, 93, 10, 77, 36, 93, 3
24, 97, 26, 35, 95, 7, 68, 24, 41, 4
48, 66, 76, 6, 70, 9, 9, 48, 100, 8
6, 6, 62, 64, 80, 10, 41, 6, 19, 7
6, 6, 62, 64, 80, 10, 99, 6, 33, 5
12, 36, 39, 70, 30, 3, 95, 12, 97, 2
30, 76, 92, 81, 36, 3, 11, 30, 65, 1
30, 76, 92, 81, 36, 3, 54, 30, 45, 7
66, 14, 13, 32, 9, 6, 25, 66, 8, 4
66, 14, 13, 32, 9, 6, 7, 66, 87, 6
18, 11, 27, 38, 95, 8, 4, 18, 70, 10
18, 11, 27, 38, 95, 8, 37, 18, 18, 2
66, 28, 68, 30, 50, 2, 25, 66, 8, 4
66, 28, 68, 30, 50, 2, 7, 66, 87, 6
18, 17, 69, 50, 63, 9, 4, 18, 70, 10
18, 17, 69, 50, 63, 9, 37, 18, 18, 2
6, 96, 42, 58, 41, 3, 41, 6, 19, 7
6, 96, 42, 58, 41, 3, 99, 6, 33, 5
48, 1, 23, 94, 55, 5, 9, 48, 100, 8
18, 23, 70, 82, 57, 8, 4, 18, 70, 10
18, 23, 70, 82, 57, 8, 37, 18, 18, 2
78, 60, 61, 45, 68, 8, 64, 78, 3, 9
48, 59, 61, 84, 93, 9, 9, 48, 100, 8
36, 29, 41, 71, 82, 6, 77, 36, 93, 3
60, 71, 96, 31, 67, 6, 92, 60, 86, 10
48, 55, 100, 48, 60, 6, 9, 48, 100, 8
60, 11, 29, 12, 99, 1, 92, 60, 86, 10
60, 35, 53, 16, 99, 6, 92, 60, 86, 10
78, 48, 100, 99, 83, 5, 64, 78, 3, 9
18, 94, 64, 65, 35, 6, 4, 18, 70, 10
18, 94, 64, 65, 35, 6, 37, 18, 18, 2
66, 7, 67, 85, 61, 8, 25, 66, 8, 4
66, 7, 67, 85, 61, 8, 7, 66, 87, 6
84, 3, 54, 6, 43, 3, 74, 84, 82, 1
36, 68, 55, 31, 26, 2, 77, 36, 93, 3
36, 76, 81, 3, 97, 1, 77, 36, 93, 3
48, 77, 36, 92, 4, 6, 9, 48, 100, 8
84, 90, 91, 41, 23, 8, 74, 84, 82, 1
78, 44, 67, 43, 45, 7, 64, 78, 3, 9
30, 38, 98, 35, 100, 7, 11, 30, 65, 1
30, 38, 98, 35, 100, 7, 54, 30, 45, 7
36, 5, 27, 23, 100, 3, 77, 36, 93, 3
6, 16, 14, 70, 4, 6, 41, 6, 19, 7
