col1,col2,col3,col4,col5,pk
67,3,98,59,64,6
75,36,66,57,37,5
6,62,61,51,90,9
67,10,88,58,40,5
82,79,77,22,34,4
52,29,26,75,15,4
53,16,48,83,67,8
9,53,52,57,31,4
61,96,73,5,85,9
79,39,10,54,44,6
58,89,67,23,92,6
46,48,3,86,70,7
82,20,32,13,8,3
51,33,8,7,47,10
11,42,68,50,62,8
73,45,87,71,58,7
44,5,8,34,37,4
34,44,35,74,39,5
16,75,90,95,38,8
56,45,97,94,29,5
89,19,24,91,9,4
1,66,61,64,36,9
1,25,30,34,63,1
98,92,95,68,11,6
76,86,59,54,2,4
90,14,13,63,29,7
69,61,53,43,11,6
59,88,78,48,78,5
85,31,56,61,60,10
92,89,39,33,54,9
43,7,54,69,65,8
64,90,38,92,88,10
75,87,47,34,78,10
75,2,22,3,75,2
86,96,98,45,77,1
19,67,29,43,40,5
35,59,66,81,13,9
8,93,12,77,7,8
6,22,75,86,76,1
27,33,2,93,38,2
67,67,60,84,99,6
98,33,86,11,2,3
30,15,80,40,55,8
89,41,13,17,41,8
52,10,70,59,76,3
20,55,29,77,24,6
100,77,76,67,37,1
24,85,39,54,75,1
30,56,10,97,17,9
66,98,74,18,11,4
57,100,37,49,54,8
1,33,79,48,59,6
1,49,56,35,83,8
82,36,35,96,97,4
52,77,56,47,91,2
29,27,16,100,5,2
39,69,3,29,48,5
60,34,22,17,27,9
71,3,61,14,72,2
38,91,70,70,66,6
6,36,34,49,61,5
46,41,42,8,53,10
91,65,66,92,9,8
20,89,22,64,17,5
65,31,28,5,86,3
81,62,86,54,18,6
55,87,54,53,61,3
3,58,41,66,65,1
15,69,26,55,28,4
83,21,76,59,37,3
24,13,13,8,40,5
93,60,3,26,76,9
77,10,72,23,98,1
51,87,88,3,48,10
58,68,54,85,54,1
64,29,28,1,64,7
42,100,16,94,56,1
42,49,59,45,89,4
55,57,67,21,74,9
90,55,55,65,89,3
24,82,69,72,60,3
77,64,65,68,28,2
74,31,80,88,56,3
37,7,10,19,33,4
54,85,4,67,78,4
60,54,30,69,1,9
99,6,91,39,96,9
81,18,40,98,74,7
31,2,44,87,93,5
71,36,51,52,4,3
88,14,6,22,62,5
14,96,69,77,4,7
69,22,62,26,79,9
97,78,17,85,33,4
66,2,3,83,5,6
28,14,28,82,83,4
56,86,36,70,61,7
87,86,63,1,13,3
11,45,90,41,30,4
22,64,8,14,62,1
77,48,88,9,92,7
9,63,40,80,37,1
73,41,12,67,95,3
65,36,43,62,47,4
19,58,81,98,20,8
11,73,61,36,61,6
15,10,99,14,70,7
64,87,77,70,72,1
38,76,45,95,95,9
27,97,33,40,88,1
77,97,16,9,26,10
6,36,100,74,73,10
88,46,5,90,63,1
78,6,33,61,5,8
10,68,43,69,6,9
87,74,58,53,75,8
7,15,40,91,27,4
97,26,24,63,78,7
34,16,97,10,9,10
61,48,95,55,13,10
46,69,42,4,98,3
57,42,79,38,36,9
12,31,89,72,100,3
84,66,99,38,60,1
74,87,74,8,79,10
34,76,69,37,2,8
50,43,8,54,94,10
13,17,43,52,29,10
36,15,97,26,80,6
47,12,14,2,96,9
8,82,37,87,61,5
72,84,68,28,46,1
39,55,100,83,86,5
91,16,59,47,39,10
32,67,92,86,21,7
93,8,60,32,5,3
70,95,35,6,85,1
100,79,63,37,38,3
63,30,2,84,39,2
77,76,44,36,98,1
99,8,40,54,32,2
71,57,61,55,6,10
87,89,98,58,78,9
66,85,96,10,73,5
42,12,62,34,65,6
64,15,62,72,51,9
42,95,51,33,18,7
71,31,91,43,82,8
79,53,28,2,66,8
100,91,83,50,67,3
34,80,30,44,94,6
18,50,80,83,83,2
85,20,74,3,34,9
41,74,100,59,62,2
85,44,89,23,61,3
82,29,2,64,60,9
93,17,31,63,52,6
45,97,57,29,26,8
61,50,66,1,12,8
69,14,21,79,6,1
20,52,26,80,7,7
14,33,70,91,66,6
64,24,17,43,3,6
3,3,99,1,92,3
54,78,38,33,7,4
80,12,5,65,64,2
72,56,68,7,89,9
93,74,6,86,14,4
34,100,48,72,37,6
66,26,85,17,88,8
13,1,85,11,72,2
4,6,32,57,11,2
77,18,47,70,14,3
31,46,19,23,64,6
33,56,81,71,54,10
64,37,14,75,43,5
34,4,24,24,29,5
85,88,30,2,57,2
6,23,10,93,39,5
35,85,23,61,61,6
18,74,98,6,97,3
94,85,11,77,25,3
36,56,59,37,3,6
32,15,47,89,12,10
11,82,51,76,93,4
75,3,5,54,72,7
22,80,2,67,40,10
61,100,45,20,94,3
86,31,60,71,30,5
94,94,40,86,79,6
77,96,94,5,67,7
83,39,28,47,53,1
82,97,35,29,96,9
92,29,19,1,95,10
69,26,22,63,100,7
8,87,25,41,91,8
100,96,54,23,44,7
23,98,84,17,16,9
86,21,34,81,10,4
90,1,81,8,27,4
75,47,48,92,19,9
45,66,8,30,30,3
93,56,38,23,64,2
94,74,99,33,85,1
81,19,1,63,74,2
99,25,39,8,82,6
60,51,87,92,32,1
46,36,4,23,44,4
38,36,57,4,4,9
5,69,37,46,29,10
64,25,14,75,17,5
27,77,89,54,57,6
71,91,83,46,24,3
79,58,96,96,2,2
3,12,27,74,30,7
99,68,28,31,64,3
18,28,43,66,32,9
30,57,48,46,13,7
6,52,83,31,36,3
100,55,11,1,91,4
89,17,37,65,16,2
59,71,9,29,19,7
20,81,85,25,25,7
55,88,35,96,80,1
66,87,43,59,75,6
30,64,14,53,24,4
18,83,66,65,32,3
30,5,76,10,3,4
49,43,59,60,4,1
21,93,20,14,38,7
94,92,12,25,92,7
40,49,67,51,70,2
24,99,74,14,22,5
76,59,98,87,67,5
50,73,64,41,63,5
40,6,84,67,53,9
88,99,98,58,66,6
86,15,68,13,39,10
85,70,26,61,45,4
69,26,68,49,46,10
51,31,72,65,66,9
19,64,88,43,15,9
98,33,80,62,1,6
68,52,97,8,67,4
92,18,90,71,59,2
4,59,84,94,14,8
25,2,24,8,33,2
50,15,81,98,23,1
33,56,27,11,88,9
25,76,87,7,69,2
5,3,1,61,69,4
92,75,55,19,82,10
43,59,12,34,76,4
27,16,85,77,45,10
12,73,4,42,85,4
58,36,93,3,28,1
10,50,84,51,73,10
4,52,10,19,66,3
78,55,47,44,85,10
30,16,81,8,83,5
38,94,52,17,53,8
60,63,81,100,5,6
3,72,85,53,77,1
87,57,67,51,23,5
74,70,56,18,77,4
76,88,51,15,26,2
19,32,30,70,71,5
52,72,79,13,81,1
96,2,98,100,49,3
38,57,64,84,67,4
4,49,48,33,89,9
65,39,18,3,56,10
82,54,24,6,90,3
98,17,81,15,63,1
40,61,40,42,80,9
92,29,66,19,48,8
29,4,4,73,70,4
20,12,100,5,72,9
78,65,24,61,6,4
67,92,4,4,14,3
92,47,29,62,39,8
81,17,21,73,13,3
58,23,64,25,14,5
88,27,45,32,68,4
63,60,15,25,14,9
24,97,26,17,61,1
10,80,83,67,40,10
58,51,95,9,51,7
69,52,55,63,73,2
20,56,23,99,63,5
72,76,61,6,12,3
14,80,94,8,48,10
67,34,88,66,23,6
76,59,64,36,42,7
85,2,18,19,87,1
7,74,22,45,91,7
76,58,86,60,38,9
79,7,93,26,9,10
60,78,23,59,31,6
3,70,97,71,1,7
30,20,93,86,40,1
98,31,11,96,12,10
41,49,70,60,29,2
84,78,17,29,66,1
21,70,53,88,79,3
12,37,26,43,8,6
23,71,35,89,22,7
28,80,11,82,50,7
81,27,43,85,13,7
2,100,69,33,51,1
32,16,4,61,73,6
96,12,30,95,55,3
22,45,15,19,44,8
2,14,76,49,58,8
17,52,72,13,65,1
9,68,27,95,56,5
47,11,77,29,63,8
3,18,37,86,79,9
70,18,48,24,63,2
92,89,98,70,45,4
21,31,54,10,57,4
58,46,3,70,93,3
3,35,36,54,54,4
63,71,81,73,100,7
8,10,64,17,5,8
48,81,28,67,84,2
51,97,9,58,6,3
45,49,32,23,96,7
65,63,78,57,58,8
61,69,15,71,67,1
78,46,74,70,63,10
42,72,39,3,54,1
35,74,86,3,86,3
29,91,9,59,31,8
32,31,44,44,99,7
88,34,87,47,45,9
2,71,89,86,45,9
72,17,87,57,24,6
59,38,37,88,92,9
23,79,22,60,9,6
73,65,36,87,19,3
87,15,25,65,57,3
18,34,96,62,15,8
72,75,86,23,7,7
17,31,6,8,16,9
58,49,34,45,11,5
67,60,92,81,96,9
99,85,83,10,78,3
26,69,78,56,70,6
86,3,2,94,67,8
64,30,28,46,79,7
21,59,76,45,16,4
29,68,87,59,70,3
2,7,2,20,91,8
5,52,87,24,36,2
40,97,69,57,51,5
14,94,74,11,31,9
48,33,87,57,47,9
44,84,23,45,57,10
30,3,78,6,29,8
56,65,39,52,39,8
3,59,98,67,84,9
84,51,89,56,65,2
95,36,6,32,47,8
11,51,21,49,75,1
46,50,95,10,23,4
40,18,95,93,98,7
38,60,75,39,36,8
79,39,2,65,81,10
6,42,77,26,52,2
15,80,14,28,85,7
13,92,5,34,36,9
43,57,37,42,12,7
52,73,25,61,59,2
16,82,3,36,26,9
35,68,2,46,81,3
60,19,13,7,27,4
69,33,73,11,91,5
53,31,40,79,74,1
28,51,55,68,98,7
12,54,18,77,58,3
46,44,39,99,67,10
58,19,44,1,2,9
22,95,3,50,81,6
78,21,60,55,69,1
89,61,35,100,86,6
50,88,18,54,49,3
5,35,64,48,66,5
1,98,76,82,93,2
53,9,92,21,71,1
73,97,33,91,34,4
23,19,56,75,40,5
97,55,68,55,39,4
51,4,64,15,34,4
31,93,13,19,33,9
95,47,80,9,51,6
81,38,36,45,25,7
43,40,82,60,55,7
3,68,86,40,49,9
54,14,32,70,81,9
90,25,32,65,52,10
61,6,64,85,9,9
68,73,30,42,66,9
88,77,48,67,49,9
46,63,69,84,34,9
67,94,10,60,52,9
88,92,74,30,37,2
60,28,68,91,14,5
47,43,32,46,59,8
92,37,50,29,86,9
66,44,88,47,65,8
31,45,91,73,62,1
50,22,39,4,69,7
91,14,35,72,79,3
15,59,85,97,75,9
24,88,51,91,8,9
77,10,95,38,89,9
70,51,92,15,48,7
30,60,85,23,10,1
79,69,52,42,42,3
8,3,88,61,28,10
33,12,92,6,63,7
88,26,4,39,51,4
87,6,46,93,3,1
33,12,93,6,46,1
28,63,8,46,59,10
57,4,77,37,55,3
5,24,6,72,45,9
9,87,21,16,100,3
86,20,57,92,24,7
82,72,96,11,78,7
71,26,70,67,88,3
76,40,54,83,81,5
23,48,93,89,99,4
15,54,96,47,39,7
9,27,39,43,39,4
4,58,57,98,52,6
98,89,89,73,76,3
43,65,76,80,69,2
88,28,91,81,58,6
48,55,72,59,51,4
22,63,79,86,42,7
90,31,10,69,19,10
57,95,6,48,81,4
87,18,41,56,11,2
98,33,12,83,81,7
93,47,9,35,6,2
17,5,15,47,13,4
24,55,81,16,21,10
38,14,87,13,83,7
58,57,66,67,84,7
17,21,21,31,50,2
60,46,100,27,8,7
74,24,73,93,37,9
83,19,36,62,48,5
74,36,83,64,62,6
45,85,90,1,76,1
98,43,54,15,95,7
10,93,93,15,50,5
17,82,52,21,75,6
65,10,31,5,92,8
70,54,12,51,33,10
82,93,6,84,2,4
89,77,50,7,42,9
28,62,58,4,6,5
76,18,54,84,41,10
73,98,27,39,99,9
87,92,58,42,34,7
49,98,46,90,92,10
62,7,90,36,98,10
35,34,31,86,62,5
45,89,95,91,69,6
3,10,73,32,11,1
93,12,40,87,71,1
65,99,2,23,43,7
46,83,32,42,30,4
2,72,100,67,53,1
74,64,31,10,40,8
10,63,97,96,54,10
100,83,7,41,35,10
11,89,93,75,29,3
18,22,48,41,70,7
74,18,62,78,55,3
22,68,32,76,60,10
52,6,40,73,76,9
9,68,76,55,81,10
30,3,61,51,97,7
79,16,83,63,72,3
26,89,57,78,14,2
94,61,75,61,58,1
93,97,23,49,89,7
17,34,31,34,95,8
88,22,53,2,8,6
89,55,14,38,41,5
9,96,85,99,59,10
16,58,20,92,77,2
78,3,73,48,41,2
18,6,21,72,95,1
34,7,54,72,49,10
50,50,96,2,62,8
76,55,65,36,30,7
53,6,25,88,4,4
94,20,32,8,27,3
60,64,80,48,71,8
19,40,76,5,52,6
2,100,94,64,41,6
89,19,79,88,11,5
66,25,40,86,52,7
6,95,79,10,1,6
47,66,67,67,98,8
70,22,19,49,74,2
30,56,95,54,84,3
87,67,53,38,82,4
16,29,42,25,92,1
89,64,98,90,82,1
10,100,52,62,47,8
57,76,53,86,31,4
30,30,68,47,42,5
58,75,5,81,37,7
5,91,31,44,89,6
25,77,43,18,84,4
54,46,15,13,39,10
2,12,81,87,91,10
60,90,37,100,96,1
44,65,34,87,4,2
7,47,86,20,51,3
7,99,87,51,73,4
86,35,55,10,49,10
39,24,68,75,80,10
74,75,95,97,89,3
24,15,25,47,90,1
4,23,44,33,4,10
56,20,24,20,51,9
84,77,21,19,73,8
15,35,17,10,43,7
5,73,76,85,52,2
19,17,98,29,49,3
66,61,20,59,89,7
15,38,1,65,66,5
21,8,95,65,20,5
71,5,37,43,28,1
76,75,92,35,85,3
5,86,81,66,85,9
14,5,57,81,87,7
